"Time (s)","Input voltage (V)","Angular velocity (rad/s)"
7060.74,0,0
7060.76,1.01639,0
7060.78,1.01534,0
7060.8,1.00854,6.21042
7060.82,1.00749,3.77151
7060.84,1.00697,7.29523
7060.86,1.00906,9.8784
7060.88,2.01812,13.4479
7060.9,2.01708,14.7982
7060.92,1.96263,19.6025
7060.94,1.96996,24.6231
7060.96,1.96472,30.5651
7060.98,1.96367,35.9493
7061,1.96891,41.6886
7061.02,1.971,46.7122
7061.04,1.9731,51.5701
7061.06,1.971,55.6999
7061.08,1.97519,61.5259
7061.1,1.97624,63.3866
7061.12,1.97729,68.4689
7061.14,1.97624,72.0163
7061.16,1.97938,78.2218
7061.18,1.98043,79.2919
7061.2,1.97833,82.9307
7061.22,1.98357,89.2195
7061.24,1.98252,89.974
7061.26,1.98566,93.5103
7061.28,1.98776,98.072
7061.3,1.98776,101.681
7061.32,1.98566,102.282
7061.34,1.99195,105.529
7061.36,1.98985,108.178
7061.38,1.9888,108.924
7061.4,1.9909,113.179
7061.42,1.99299,115.203
7061.44,1.99299,116.876
7061.46,1.99195,120.258
7061.48,1.9909,121.466
7061.5,1.99509,122.982
7061.52,1.99299,126.625
7061.54,1.99613,125.064
7061.56,1.99509,128.536
7061.58,1.99404,129.316
7061.6,1.99613,131.39
7061.62,1.99404,132.721
7061.64,1.99718,134.472
7061.66,1.99927,136.024
7061.68,1.99823,136.165
7061.7,2.00032,142.034
7061.72,1.99927,140.152
7061.74,2.00137,141.333
7061.76,2.00137,141.674
7061.78,1.99927,142.795
7061.8,2.00032,146.369
7061.82,2.00137,144.444
7061.84,2.00032,147.974
7061.86,2.00137,146.917
7061.88,2.00137,150.731
7061.9,2.00346,148.2
7061.92,2.00451,150.352
7061.94,2.00137,148.722
7061.96,2.00242,153.11
7061.98,2.00242,151.727
7062,2.00242,154.543
7062.02,2.00242,152.484
7062.04,2.00556,157.938
7062.06,2.0066,155.541
7062.08,2.00556,157.3
7062.1,2.0066,155.667
7062.12,2.0066,158.636
7062.14,2.00765,156.231
7062.16,2.00556,161.289
7062.18,2.00765,158.672
7062.2,2.0066,159.627
7062.22,2.0066,159.194
7062.24,2.0066,161.202
7062.26,2.00451,159.535
7062.28,2.00765,162.759
7062.3,2.0066,160.298
7062.32,2.0066,165.299
7062.34,2.00451,161.86
7062.36,2.00765,167.343
7062.38,2.00556,162.512
7062.4,2.00556,165.988
7062.42,2.00765,163.479
7062.44,2.00556,166.425
7062.46,2.00975,164.476
7062.48,2.0087,167.16
7062.5,2.0087,166.683
7062.52,2.01079,166.283
7062.54,2.0087,165.853
7062.56,2.0087,166.157
7062.58,2.00765,168.256
7062.6,2.00975,165.571
7062.62,2.0087,168.68
7062.64,2.01184,167.029
7062.66,2.0066,172.247
7062.68,2.0087,168.42
7062.7,2.00975,168.999
